Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code)
14119;1002600;Bac ES;M;0;Non;0;Non boursier;Université;4;0333298F;Université de Bordeaux - Bordeaux Métropole;Bordeaux;33;France;99100;;;;Economique et social;ES;;;Mathématiques;11;31/03/2018;Oui;1
14084;1077716;Bac S;M;0;Non;0;Non boursier;Université;4;0290346U;Université de Brest;Brest;29;France;99100;Licence - Arts-lettres-langues;Langues étrangères appliquées;;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;30/03/2018;Oui;1
1539;1026408;Autres candidats;M;0;Non;0;Non boursier;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Sciences - technologies - santé;Sciences pour l'ingénieur;;Scientifique;SCI;;;;;29/03/2018;Oui;1
14119;1058308;Bac ES;F;0;Non;0;Non boursier;Université;4;0450855K;Université d'Orléans;Orléans;45;France;99100;;;;Economique et social;ES;;;Mathématiques;11;29/03/2018;Oui;1
14084;1061694;Bac S;F;0;Non;0;Non boursier;Université;4;0370800U;Universite François-Rabelais - Tours;Tours;37;France;99100;Licence - Sciences - technologies - santé;Informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;25/03/2018;Oui;1
14114;1018082;Bac STI2D;M;0;Non;0;Non boursier;Université;4;0421095M;Universite Jean Monnet, Saint-Etienne;Saint-Etienne;42;France;99100;DU SupMédiaWeb - Mention Communication et Métiers du Webdesign;;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Innovation Technologique et Eco conception;339;27/02/2018;Oui;1
14084;1018236;Bac S;M;0;Non;0;Non boursier;Université;4;0660437S;Université de Perpignan Via Domitia;Perpignan;66;France;99100;Licence - Sciences - technologies - santé;Informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;21/03/2018;Oui;1
14084;1169476;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0860856N;Université de Poitiers;Poitiers;86;France;99100;Licence - Sciences humaines et sociales;Psychologie;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;30/03/2018;Oui;1
14084;1010948;Bac S;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Sciences - technologies - santé;PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes);;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;22/01/2018;Oui;1
14119;1011034;Bac ES;M;0;Non;0;Non boursier;Université;4;0311384L;Université Toulouse 3 Paul Sabatier;Toulouse;31;France;99100;Licence - Sciences humaines et sociales;Mathématiques et informatique appliquées aux sciences humaines et sociales;;Economique et social;ES;;;Mathématiques;11;20/03/2018;Oui;1
